Borough,2010CensusTract,PUMA,NTA_Code,NTA_Name
Bronx,31000,3704,BX31,Allerton-Pelham Gardens
Bronx,31200,3704,BX31,Allerton-Pelham Gardens
Bronx,31400,3704,BX31,Allerton-Pelham Gardens
Bronx,31600,3704,BX31,Allerton-Pelham Gardens
Bronx,31800,3704,BX31,Allerton-Pelham Gardens
Bronx,32600,3704,BX31,Allerton-Pelham Gardens
Bronx,34200,3704,BX31,Allerton-Pelham Gardens
Bronx,34400,3704,BX31,Allerton-Pelham Gardens
Bronx,34800,3704,BX31,Allerton-Pelham Gardens
Bronx,35000,3704,BX31,Allerton-Pelham Gardens
Bronx,36000,3704,BX31,Allerton-Pelham Gardens
Bronx,23702,3706,BX05,Bedford Park-Fordham North
Bronx,39901,3706,BX05,Bedford Park-Fordham North
Bronx,39902,3706,BX05,Bedford Park-Fordham North
Bronx,40100,3706,BX05,Bedford Park-Fordham North
Bronx,40302,3706,BX05,Bedford Park-Fordham North
Bronx,40501,3706,BX05,Bedford Park-Fordham North
Bronx,40502,3706,BX05,Bedford Park-Fordham North
Bronx,40702,3706,BX05,Bedford Park-Fordham North
Bronx,41100,3706,BX05,Bedford Park-Fordham North
Bronx,41300,3706,BX05,Bedford Park-Fordham North
Bronx,41500,3706,BX05,Bedford Park-Fordham North
Bronx,38700,3705,BX06,Belmont
Bronx,38900,3705,BX06,Belmont
Bronx,39100,3705,BX06,Belmont
Bronx,39300,3705,BX06,Belmont
Bronx,39700,3705,BX06,Belmont
Bronx,32400,3704,BX07,Bronxdale
Bronx,32800,3704,BX07,Bronxdale
Bronx,33000,3704,BX07,Bronxdale
Bronx,33201,3704,BX07,Bronxdale
Bronx,33202,3704,BX07,Bronxdale
Bronx,33600,3704,BX07,Bronxdale
Bronx,33800,3704,BX07,Bronxdale
Bronx,34000,3704,BX07,Bronxdale
Bronx,14500,3705,BX01,Claremont-Bathgate
Bronx,14701,3705,BX01,Claremont-Bathgate
Bronx,14702,3705,BX01,Claremont-Bathgate
Bronx,16500,3705,BX01,Claremont-Bathgate
Bronx,16700,3705,BX01,Claremont-Bathgate
Bronx,16900,3705,BX01,Claremont-Bathgate
Bronx,38500,3705,BX01,Claremont-Bathgate
Bronx,39500,3705,BX01,Claremont-Bathgate
Bronx,30200,3703,BX13,Co-op City
Bronx,46201,3703,BX13,Co-op City
Bronx,46202,3703,BX13,Co-op City
Bronx,6000,3705,BX75,Crotona Park East
